,cellphone_id,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date,Apple,Asus,Samsung,Google,OnePlus,Oppo,Vivo,Xiaomi,Sony,Motorola,iOS,Android,index,age,gender,occupation,rating
175,10,128,8,881,50,10,3700,61,167,528,2022,False,False,True,False,False,False,False,False,False,False,False,True,36,42,1,17,4
176,22,256,12,1011,50,32,5000,67,218,987,2022,False,False,False,False,False,True,False,False,False,False,False,True,36,42,1,17,4
177,14,256,12,635,12,4,4400,76,271,1799,2021,False,False,True,False,False,False,False,False,False,False,False,True,36,42,1,17,1
178,9,128,6,379,64,32,5000,65,189,312,2022,False,False,True,False,False,False,False,False,False,False,False,True,36,42,1,17,4
179,17,128,12,719,50,11,5003,67,210,699,2021,False,False,False,True,False,False,False,False,False,False,False,True,36,42,1,17,2
180,24,128,4,244,50,13,5000,64,179,174,2022,False,False,False,False,False,False,False,True,False,False,False,True,37,34,0,18,6
181,32,64,4,135,50,8,5000,65,203,189,2022,False,False,False,False,False,False,False,False,False,True,False,True,37,34,0,18,5
182,28,512,12,682,12,8,4000,65,225,1998,2021,False,False,False,False,False,False,False,False,True,False,False,True,37,34,0,18,10
183,7,32,3,136,50,8,5000,66,196,154,2022,False,False,True,False,False,False,False,False,False,False,False,True,37,34,0,18,1
184,18,128,6,380,64,16,4500,64,173,299,2022,False,False,False,False,True,False,False,False,False,False,False,True,37,34,0,18,5
185,31,32,3,102,13,5,4000,65,188,129,2021,False,False,False,False,False,False,False,False,False,True,False,True,37,34,0,18,2
186,23,256,8,981,50,32,4700,67,215,872,2022,False,False,False,False,False,False,True,False,False,False,False,True,37,34,0,18,9
187,30,32,3,142,13,5,5000,65,204,159,2021,False,False,False,False,False,False,False,False,False,True,False,True,37,34,0,18,1
188,13,128,8,596,12,10,3300,67,183,899,2021,False,False,True,False,False,False,False,False,False,False,False,True,37,34,0,18,5
189,15,128,8,676,50,8,4614,64,207,499,2021,False,False,False,True,False,False,False,False,False,False,False,True,37,34,0,18,5
190,1,128,4,772,12,12,2438,54,141,699,2021,True,False,False,False,False,False,False,False,False,False,True,False,38,42,1,19,7
191,30,32,3,142,13,5,5000,65,204,159,2021,False,False,False,False,False,False,False,False,False,True,False,True,38,42,1,19,4
192,5,64,3,422,12,7,2942,61,194,236,2018,True,False,False,False,False,False,False,False,False,False,True,False,38,42,1,19,8
193,24,128,4,244,50,13,5000,64,179,174,2022,False,False,False,False,False,False,False,True,False,False,False,True,38,42,1,19,7
194,10,128,8,881,50,10,3700,61,167,528,2022,False,False,True,False,False,False,False,False,False,False,False,True,38,42,1,19,7
195,15,128,8,676,50,8,4614,64,207,499,2021,False,False,False,True,False,False,False,False,False,False,False,True,38,42,1,19,2
196,2,128,4,775,12,12,3240,61,174,699,2021,True,False,False,False,False,False,False,False,False,False,True,False,38,42,1,19,8
197,11,128,8,722,50,10,4500,66,195,899,2022,False,False,True,False,False,False,False,False,False,False,False,True,38,42,1,19,7
198,6,128,8,676,64,12,4000,59,169,599,2021,False,True,False,False,False,False,False,False,False,False,False,True,38,42,1,19,5
199,25,256,8,759,108,16,5000,66,204,435,2021,False,False,False,False,False,False,False,True,False,False,False,True,38,42,1,19,6
200,20,128,8,886,48,32,5000,67,201,780,2022,False,False,False,False,True,False,False,False,False,False,False,True,52,25,1,20,10
201,0,128,4,723,12,7,2018,47,144,429,2022,True,False,False,False,False,False,False,False,False,False,True,False,52,25,1,20,5
202,13,128,8,596,12,10,3300,67,183,899,2021,False,False,True,False,False,False,False,False,False,False,False,True,52,25,1,20,4
203,27,128,8,698,64,20,4500,66,195,428,2022,False,False,False,False,False,False,False,True,False,False,False,True,52,25,1,20,6
204,26,128,8,985,50,32,4600,67,204,618,2021,False,False,False,False,False,False,False,True,False,False,False,True,52,25,1,20,8
205,8,64,4,220,48,13,5000,65,205,199,2021,False,False,True,False,False,False,False,False,False,False,False,True,52,25,1,20,1
206,5,64,3,422,12,7,2942,61,194,236,2018,True,False,False,False,False,False,False,False,False,False,True,False,52,25,1,20,2
207,3,256,6,794,12,12,3065,61,204,999,2021,True,False,False,False,False,False,False,False,False,False,True,False,52,25,1,20,2
208,24,128,4,244,50,13,5000,64,179,174,2022,False,False,False,False,False,False,False,True,False,False,False,True,52,25,1,20,5
209,15,128,8,676,50,8,4614,64,207,499,2021,False,False,False,True,False,False,False,False,False,False,False,True,52,25,1,20,5
210,32,64,4,135,50,8,5000,65,203,189,2022,False,False,False,False,False,False,False,False,False,True,False,True,53,38,2,21,9
211,5,64,3,422,12,7,2942,61,194,236,2018,True,False,False,False,False,False,False,False,False,False,True,False,53,38,2,21,8
212,15,128,8,676,50,8,4614,64,207,499,2021,False,False,False,True,False,False,False,False,False,False,False,True,53,38,2,21,10
213,4,256,6,801,12,12,4352,67,240,1199,2021,True,False,False,False,False,False,False,False,False,False,True,False,53,38,2,21,9
214,26,128,8,985,50,32,4600,67,204,618,2021,False,False,False,False,False,False,False,True,False,False,False,True,53,38,2,21,9
215,9,128,6,379,64,32,5000,65,189,312,2022,False,False,True,False,False,False,False,False,False,False,False,True,53,38,2,21,8
216,7,32,3,136,50,8,5000,66,196,154,2022,False,False,True,False,False,False,False,False,False,False,False,True,53,38,2,21,8
217,29,128,6,229,50,16,5000,68,215,500,2022,False,False,False,False,False,False,False,False,False,True,False,True,53,38,2,21,8
218,25,256,8,759,108,16,5000,66,204,435,2021,False,False,False,False,False,False,False,True,False,False,False,True,53,38,2,21,9
219,17,128,12,719,50,11,5003,67,210,699,2021,False,False,False,True,False,False,False,False,False,False,False,True,53,38,2,21,8
220,15,128,8,676,50,8,4614,64,207,499,2021,False,False,False,True,False,False,False,False,False,False,False,True,56,50,0,22,5
221,32,64,4,135,50,8,5000,65,203,189,2022,False,False,False,False,False,False,False,False,False,True,False,True,56,50,0,22,3
222,30,32,3,142,13,5,5000,65,204,159,2021,False,False,False,False,False,False,False,False,False,True,False,True,56,50,0,22,2
223,5,64,3,422,12,7,2942,61,194,236,2018,True,False,False,False,False,False,False,False,False,False,True,False,56,50,0,22,9
224,25,256,8,759,108,16,5000,66,204,435,2021,False,False,False,False,False,False,False,True,False,False,False,True,56,50,0,22,3
